domain	biz	sitemap_pages	old_reason
colleenmaherartistry.com	Colleen Maher Artistry	6	Duplicate of: Colleen Maher Artistry
rockymountainsnowmobile.com	Rocky Mountain Snowmobile	5	Duplicate of: Rocky Mountain Snowmobile
southernazlaw.com	Southern Arizona Law	5	Duplicate of: Southern Arizona Law
afivestarsmile.com	Cosmetic Dental Spa Ricardo M. Perez, DDS	4	Duplicate of: Cosmetic Dental Spa Ricardo M. Perez, DDS
mavenaesthetics.com	Maven Aesthetics, LLC	3	Duplicate of: Maven Aesthetics, LLC
